,Time,status,qtt,Price,Pnl,motive
163,2020-09-18 06:30:00,CLOSE,193.69202690723262,386.92,-6.307973092767384,TP
164,43768,OPEN,200.0,383.19,0.0,OPEN
165,2020-09-18 20:15:00,CLOSE,191.2884991779535,381.77,-8.711500822046503,TP
166,43768,OPEN,200.0,380.52,0.0,OPEN
167,2020-09-19 09:00:00,CLOSE,191.87890255439925,380.28,-8.121097445600753,TP
168,43768,OPEN,200.0,381.47,0.0,OPEN
169,2020-09-20 05:15:00,CLOSE,192.01509948357668,381.5,-7.984900516423323,TP
170,43768,OPEN,200.0,379.8,0.0,OPEN
171,2020-09-20 10:30:00,CLOSE,192.40947867298578,380.61,-7.590521327014216,TP
172,43768,OPEN,200.0,378.09,0.0,OPEN
173,2020-09-20 17:15:00,CLOSE,188.9226374672697,372.03,-11.077362532730291,TP
174,43768,OPEN,200.0,372.54,0.0,OPEN
175,2020-09-21 17:15:00,CLOSE,176.0438073763891,341.58,-23.95619262361089,TP
176,43768,OPEN,200.0,340.36,0.0,OPEN
177,2020-09-22 02:45:00,CLOSE,194.50464214361267,344.8,-5.495357856387329,TP
178,43768,OPEN,200.0,341.24,0.0,OPEN
179,2020-09-22 10:30:00,CLOSE,192.25319423279802,341.69,-7.746805767201977,TP
180,43768,OPEN,200.0,341.57,0.0,OPEN
181,2020-09-23 09:45:00,CLOSE,190.48230230992186,338.87,-9.517697690078137,TP
182,43768,OPEN,200.0,336.38,0.0,OPEN
183,2020-09-24 00:15:00,CLOSE,184.42570901956122,323.11,-15.574290980438775,TP
184,43768,OPEN,200.0,344.91,0.0,OPEN
185,2020-09-25 07:30:00,CLOSE,191.7216665217013,344.41,-8.278333478298691,TP
186,43768,OPEN,200.0,339.08,0.0,OPEN
187,2020-09-25 11:15:00,CLOSE,193.48354370649994,341.7,-6.516456293500056,TP
188,43768,OPEN,200.0,351.13,0.0,OPEN
189,2020-09-26 02:30:00,CLOSE,192.7163158943981,352.44,-7.283684105601907,TP
190,43768,OPEN,200.0,349.8,0.0,OPEN
191,2020-09-26 04:45:00,CLOSE,193.18559176672383,351.96,-6.814408233276168,TP
192,43768,OPEN,200.0,348.03,0.0,OPEN
193,2020-09-26 14:00:00,CLOSE,193.4619429359538,350.68,-6.5380570640462,TP
194,43768,OPEN,200.0,355.11,0.0,OPEN
